,keywords,number_of_times_word_appeared,tf,idf,tf_idf
113,pre,19,0.0007678629162625283,-2.9444389791664407,-0.002260925501299805
480,allocate,19,0.0007678629162625283,-2.9444389791664407,-0.002260925501299805
39,pointer,18,0.0007274490785645005,-2.890371757896165,-0.002102598271990421
46,param,18,0.0007274490785645005,-2.890371757896165,-0.002102598271990421
66,ack,17,0.0006870352408664727,-2.833213344056216,-0.0019465174122597672
280,null,17,0.0006870352408664727,-2.833213344056216,-0.0019465174122597672
47,const,16,0.0006466214031684449,-2.772588722239781,-0.001792815209983693
126,return,16,0.0006466214031684449,-2.772588722239781,-0.001792815209983693
201,define,16,0.0006466214031684449,-2.772588722239781,-0.001792815209983693
719,void,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
218,port,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
223,memory,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
573,application,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
414,ok,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
173,types,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
32,language,15,0.0006062075654704171,-2.70805020110221,-0.0016416405195818443
763,name,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
583,comments,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
834,parameter,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
430,ten,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
604,expr,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
638,reference,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
481,primitive,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
617,system,14,0.0005657937277723893,-2.639057329615259,-0.0014931620843280644
502,make,13,0.0005253798900743614,-2.5649493574615367,-0.0013475728114694461
274,element,13,0.0005253798900743614,-2.5649493574615367,-0.0013475728114694461
654,variable,13,0.0005253798900743614,-2.5649493574615367,-0.0013475728114694461
559,run,13,0.0005253798900743614,-2.5649493574615367,-0.0013475728114694461
226,operator,13,0.0005253798900743614,-2.5649493574615367,-0.0013475728114694461
212,browser,12,0.00048496605237633366,-2.4849066497880004,-0.0012050953684713873
30,value,12,0.00048496605237633366,-2.4849066497880004,-0.0012050953684713873
356,may,12,0.00048496605237633366,-2.4849066497880004,-0.0012050953684713873
371,time,12,0.00048496605237633366,-2.4849066497880004,-0.0012050953684713873
129,basicsjava,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
251,form,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
849,state,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
670,methods,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
3,end,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
283,garbage,11,0.00044455221467830586,-2.3978952727983707,-0.0010659896540891561
374,would,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
290,runtime,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
562,stack,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
556,two,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
321,file,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
19,applets,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
474,defined,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
614,constant,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
99,following,10,0.00040413837698027806,-2.3025850929940455,-0.0009305630023415961
14,boolean,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
443,statement,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
426,applications,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
104,ill,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
676,called,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
346,collection,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
336,main,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
310,bit,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
269,byte,9,0.00036372453928225026,-2.1972245773362196,-0.0007991844970912536
190,cause,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
417,style,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
629,create,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
155,ints,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
759,size,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
710,variables,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
181,programs,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
0,definition,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
821,source,8,0.00032331070158422246,-2.0794415416798357,-0.0006723057037438849
762,instance,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
785,parameters,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
300,arrays,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
167,contain,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
511,pointers,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
51,inc,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
401,bits,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
270,table,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
355,via,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
205,foo,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
351,literal,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
413,args,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
296,draw,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
442,struct,7,0.00028289686388619466,-1.9459101490553135,-0.0005504918785720658
368,equivalent,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
501,trivial,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
794,statements,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
491,portable,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
770,heap,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
848,version,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
457,exception,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
608,calloc,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
483,equal,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
233,strings,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
661,true,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
718,test,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
445,width,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
204,integer,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
92,execute,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
584,sizeof,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
121,need,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
6,note,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
119,semantics,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
421,automatic,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
2,thread,6,0.00024248302618816683,-1.791759469228055,-0.00043447125829972234
76,similar,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
843,allocates,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
64,set,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
164,access,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
436,used,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
384,buttons,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
168,elements,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
79,compile,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
446,effect,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
765,p2,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
724,like,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
202,start,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
161,write,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
253,static,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
841,initial,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
20,signed,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
207,predefined,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
612,machine,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
256,uses,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
473,consider,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
185,p1,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
172,platform,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
244,length,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
596,instantiate,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
812,passed,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
362,tag,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
115,threads,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
109,using,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
835,stop,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
142,clone,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
554,way,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
145,put,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
53,import,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
298,expressions,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
664,executed,5,0.00020206918849013903,-1.6094379124341003,-0.0003252178128908221
195,blah,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
791,free,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
69,animations,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
846,quit,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
514,extend,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
697,getparameter,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
800,compiler,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
132,pointernull,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
160,paint,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
758,must,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
111,document,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
354,definitions,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
813,final,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
22,makes,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
803,therefore,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
579,list,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
607,super,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
138,convert,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
528,else,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
519,however,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
238,look,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
509,simple,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
506,false,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
660,println,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
808,invoke,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
395,space,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
337,place,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
618,line,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
523,copy,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
397,execution,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
701,graphics,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
68,www,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
249,view,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
493,initialize,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
492,operators,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
385,part,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
475,drawn,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
623,library,4,0.00016165535079211123,-1.3862943611198906,-0.00022410190124796164
840,programming,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
59,first,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
347,destroy,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
333,structure,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
842,creates,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
431,appletviewer,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
246,output,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
58,char,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
687,contrast,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
416,allow,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
833,references,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
839,stat1,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
299,dynamic,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
291,item,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
379,assigned,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
373,ignore,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
658,resources,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
656,awt,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
566,equals,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
278,float,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
276,extends,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
314,limited,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
650,messages,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
360,always,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
62,typename,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
323,hard,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
725,default,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
410,assignment,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
326,html,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
412,leave,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
679,bounds,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
415,easily,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
567,collector,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
682,every,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
634,package,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
86,classes,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
537,shows,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
609,dispose,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
789,within,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
189,automatically,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
188,robust,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
773,idi,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
13,inthis,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
532,codevoid,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
128,section,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
498,edu,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
93,push,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
140,label,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
143,bfoo,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
175,address,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
166,reside,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
163,compilation,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
159,defines,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
792,loop,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
521,include,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
591,window,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
127,gui,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
151,double,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
627,function,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
577,declaration,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
125,case,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
229,nothing,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
578,text,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
447,life,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
557,allocated,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
464,arithmetic,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
227,optional,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
1,argument,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
546,height,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
219,link,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
122,either,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
465,trivialapplication,3,0.00012124151309408342,-1.0986122886681098,-0.00013319741618187558
378,subclass,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
524,vector,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
665,continue,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
681,longer,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
564,expressionsitemexamples,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
666,interpreted,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
525,yet,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
353,objectsa,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
551,addresses,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
527,bar,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
348,ii,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
531,lifecycle,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
533,added,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
350,trivialapplet,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
536,thesame,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
358,concatenate,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
352,second,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
575,unlike,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
56,available,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
387,instantiates,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
594,come,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
477,features,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
21,unit,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
647,environment,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
467,points,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
342,dynamically,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
34,member,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
424,index,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
624,constant3,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
628,handle,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
857,done,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
41,standard,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
36,left,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
631,tothe,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
38,sockets,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
632,instanceof,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
18,components,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
382,forms,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
408,portability,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
405,valid,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
383,instantiated,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
513,multi,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
437,values,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
9,written,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
510,keyword,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
503,accessing,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
392,checking,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
393,complete,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
852,employee,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
499,constructor,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
11,syntax,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
495,ignored,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
837,placed,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
402,wide,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
485,etc,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
649,invoked,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
31,display,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
810,opening,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
683,suspend,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
822,hardware,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
78,perform,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
340,menu,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
231,prints,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
747,world,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
243,initialized,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
740,declare,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
825,instead,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
736,constants,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
733,versions,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
259,web,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
726,containing,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
723,dereference,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
70,mml,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
720,settitle,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
828,independent,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
282,illustrate,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
717,level,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
287,documentation,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
211,codeint,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
210,specific,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
208,ieee,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
206,freed,2,8.082767539605561e-05,-0.6931471805599453,-5.602547531199041e-05
